date,scenario_id,reference_state,p_risk_on,p_mixed,p_risk_off,prediction,selected_C,conformal_threshold,prediction_set,prediction_set_size,covered,entropy,observed_candidate_mass,unobserved_mass_lower_bound,missing_candidates,all_candidates_observed,spy_return,sgov_return,weight_BeliefLens linear state allocation,return_BeliefLens linear state allocation,weight_BeliefLens uncertainty-controlled,return_BeliefLens uncertainty-controlled,weight_SPY buy-and-hold,return_SPY buy-and-hold,weight_SGOV buy-and-hold,return_SGOV buy-and-hold,weight_Fixed 50/50 SPY-SGOV,return_Fixed 50/50 SPY-SGOV,weight_Conventional 10% volatility control,return_Conventional 10% volatility control
2026-01-02,daily-2026-01-02,Mixed,0.3561829424453857,0.591322492208809,0.0524945653458053,Mixed,1.0,0.6225278067154654,Mixed,1,True,0.7582952784730717,0.9999372432590808,6.275674091926753e-05,2,False,0.006660128518523933,9.959167413642334e-05,0.6518441885497901,0.0043760394899172005,0.5367014573089094,0.0036206413592479933,1.0,0.006660128518523933,0.0,9.959167413642334e-05,0.5,0.0033798600963301784,1.0,0.006660128518523933
2026-01-05,daily-2026-01-05,Mixed,0.5960030970992349,0.3771433185513982,0.0268535843493667,Risk-on,1.0,0.6228221246299349,Risk-on,1,False,0.7039243630200211,0.9998664945083544,0.0001335054916454,3,False,0.005947187808991838,9.958175662228008e-05,0.784574756374934,0.004621100566624144,0.5842556522621309,0.0034923015474448297,1.0,0.005947187808991838,0.0,9.958175662228008e-05,0.5,0.0030233847828070592,1.0,0.005947187808991838
2026-01-06,daily-2026-01-06,Risk-on,0.5960130549736449,0.3771377284504059,0.0268492165759492,Risk-on,1.0,0.6228221246299349,Risk-on,1,True,0.7039097099411046,0.9999694828875316,3.051711246848665e-05,3,False,-0.003223428397970407,9.957184108322359e-05,0.7845819191988478,-0.002507597645383661,0.584261943001104,-0.0018419338805488704,1.0,-0.003223428397970407,0.0,9.957184108322359e-05,0.5,-0.0015619282784435917,0.9965787242759324,-0.003213770135783496
2026-01-07,daily-2026-01-07,Risk-on,0.5960145302670288,0.3771369002145909,0.0268485695183803,Risk-on,1.0,0.6228221246299349,Risk-on,1,True,0.7039075390663776,0.9999847413273524,1.5258672647733285e-05,3,False,-0.00010151106470623894,9.956192751903181e-05,0.7845829803743243,-5.81970505815927e-05,0.5842628749988584,-1.7918023002005194e-05,1.0,-0.00010151106470623894,0.0,9.956192751903181e-05,0.5,-9.745685936035642e-07,0.9953685017286922,-0.00010118490676396104
2026-01-08,daily-2026-01-08,Mixed,0.5960101044277011,0.3771393848657468,0.0268505107065522,Risk-on,1.0,0.6228221246299349,Risk-on,1,False,0.7039140516532277,0.9999389667063572,6.1033293642709374e-05,3,False,0.006613392119041217,0.00019910403185652292,0.7845797968605744,0.005231623284548219,0.584260079033795,0.00394671509863805,1.0,0.006613392119041217,0.0,0.00019910403185652292,0.5,0.00340624807544887,0.9968630896212275,0.006592523778221823
2026-01-09,daily-2026-01-09,Risk-on,0.596016693669406,0.3771357126537878,0.0268475936768062,Risk-on,1.0,0.6228221246299349,Risk-on,1,True,0.7039042907148416,1.000007629423635,0.0,3,False,0.0015704467849062542,0.00019906439733241577,0.7845845499962999,0.0012750274541920245,0.584264264182752,0.0010003120263469517,1.0,0.0015704467849062542,0.0,0.00019906439733241577,0.5,0.000884755591119335,0.9969720698894203,0.0015662398447477044
2026-01-12,daily-2026-01-12,Risk-on,0.6190691630054929,0.3554932252651422,0.0254376117293649,Risk-on,1.0,0.6444738694385355,Risk-on,1,True,0.6898983163629266,0.9999771120783388,2.288792166127429e-05,3,False,-0.0019995396743194283,9.951238929239992e-05,0.7968157756380639,-0.0015791610217000198,0.5920430717554075,-0.0011471062460092015,1.0,-0.0019995396743194283,0.0,9.951238929239992e-05,0.5,-0.0009500136425135142,0.9978669482809517,-0.0019955097269025346
2026-01-13,daily-2026-01-13,Risk-on,0.619068266064368,0.3554938078171614,0.0254379261184706,Risk-on,1.0,0.6444738694385355,Risk-on,1,True,0.6898995239510294,0.9999694828875316,3.051711246848665e-05,3,False,-0.0049151736166165305,9.95024875622974e-05,0.7968151699729488,-0.0038962678075807975,0.5920425255071675,-0.0028693992908803002,1.0,-0.0049151736166165305,0.0,9.95024875622974e-05,0.5,-0.0024078355645271166,1.0,-0.004916240142476055
2026-01-14,daily-2026-01-14,Risk-on,0.6190696114776834,0.3554929339870054,0.0254374545353111,Risk-on,1.0,0.6444738694385355,Risk-on,1,True,0.6898977125671555,0.9999809266955696,1.907330443029487e-05,3,False,0.0027232168723565486,9.949258780217463e-05,0.7968160784711861,0.0021901178289612903,0.5920433448807615,0.0016528506795878322,1.0,0.0027232168723565486,0.0,9.949258780217463e-05,0.5,0.0014113547300793616,1.0,0.0027232168723565486
2026-01-15,daily-2026-01-15,Risk-on,0.619068266064368,0.3554938078171614,0.0254379261184706,Risk-on,1.0,0.6444738694385355,Risk-on,1,True,0.6898995239510294,0.9999694828875316,3.051711246848665e-05,3,False,-0.0008378597018375844,0.00039793076004812633,0.7968151699729488,-0.0005867662811394038,0.5920425255071675,-0.00033371015569115585,1.0,-0.0008378597018375844,0.0,0.00039793076004812633,0.5,-0.00021996447089472904,1.0,-0.0008378597018375844
