scenario_id,condition,repeat_id,token_tv_to_canonical,constrained_full_law_tv,posterior_js_to_canonical,reference_js_change,directional_inner_product,directional_cosine,direction_correct,js_to_new_reference,observed_mass,residual_mass
20260811-124,contradict-replace-one,1,0.1577642683906931,0.15776426587610093,0.16842174431451756,0.2878977623615262,0.3320418735568743,0.7550410999655813,True,0.1837512787592881,0.999999917299717,8.27002828440726e-08
20260811-080,irrelevant-distractor,0,0.0002597309955969277,0.00025973097744657166,0.00939636350657381,-9.130889730753934e-18,3.809783998326126e-12,0.8696771562810179,True,5.413365236324474e-05,0.999999929993966,7.000603430284968e-08
20260811-125,contradict-replace-one,0,0.9747199228779259,0.9747199072114324,0.05585327243510352,0.29682583385804423,0.21210731669391306,0.7529420878317692,True,0.018394369129352585,0.9999999832624881,1.673751270914181e-08
20260811-126,irrelevant-distractor,0,0.00029251682300263603,0.0002925167988630151,0.0023644603626468024,2.305446969182383e-17,1.0827956714796302e-13,0.021735075913032028,True,0.14185652296247733,0.9999999143014671,8.569853338080691e-08
20260811-125,contradict-replace-one,1,0.9747199228779259,0.9747199072114324,0.05585327243510352,0.29682583385804423,0.21210731669391306,0.7529420878317692,True,0.018394369129352585,0.9999999832624881,1.673751270914181e-08
20260811-127,irrelevant-distractor,0,0.0019281699595538712,0.001928169896011168,0.007718989086938697,-3.022678661124868e-17,-8.982150399871081e-13,-0.3151067804119829,False,0.04065157218546857,0.999999966826084,3.3173916058615305e-08
20260811-125,irrelevant-distractor,1,0.8825429117747442,0.882542891754209,0.01110908589816622,1.0180281479894034e-18,1.064269441433069e-12,0.285431874208201,True,0.15742226273834886,0.9999999029129911,9.708700998700692e-08
20260811-126,irrelevant-distractor,1,0.00029251682300263603,0.0002925167988630151,0.0023644603626468024,2.305446969182383e-17,1.0827956714796302e-13,0.021735075913032028,True,0.14185652296247733,0.9999999143014671,8.569853338080691e-08
20260811-126,contradict-replace-one,0,0.010952735697622352,0.010952745181046605,0.029367080466193737,0.30580924828719,0.22943565935431862,0.831152093448916,True,0.01562607442004208,0.999999893321698,1.0667830219190932e-07
20260811-127,irrelevant-distractor,1,0.0019328952166371063,0.0019329198083072895,0.006437070368120885,-3.022678661124868e-17,-8.306898813463656e-13,-0.32258604225584014,False,0.03804827521605121,0.9999999367653101,6.323469003977067e-08
20260811-127,contradict-replace-one,0,0.00019123345392264368,0.0001913466921999921,0.036095774780874085,0.2620720418785721,0.10953377335909126,0.7128030964995047,True,0.1453186821567351,0.999999848210894,1.5178910661717282e-07
20260811-126,contradict-replace-one,1,0.014019749994210526,0.014019749182657562,0.035633431625836084,0.30580924828719,0.25247942973176146,0.8303961830504265,True,0.011934192174382807,0.9999999419198441,5.808015679509282e-08
20260811-127,contradict-replace-one,1,0.0002489969169840152,0.0002491286761768912,0.03849456483407156,0.2620720418785721,0.11420154773706725,0.7291091939195405,True,0.14101542818173218,0.999999829676369,1.7032363153202112e-07
