scenario_id,condition,repeat_id,token_tv_to_canonical,constrained_full_law_tv,posterior_js_to_canonical,reference_js_change,directional_inner_product,directional_cosine,direction_correct,js_to_new_reference,observed_mass,residual_mass
20260811-039,contradict-replace-one,0,4.540420388179546e-05,4.548996934193822e-05,0.009214615241261815,0.008145634698379013,0.0023923093082343504,0.9999959482169551,True,0.001012298542958866,0.999999914230645,8.576935417448084e-08
20260811-037,irrelevant-distractor,1,2.435118258507303e-13,2.434563146994991e-13,5.48115673888234e-17,3.3492958658268076e-16,3.988511319279778e-27,3.988511319279778e-12,True,0.000788463000937387,1.000000000000335,0.0
20260811-038,irrelevant-distractor,0,0.0004207424447424324,0.0004207424442498328,0.0007187192751818849,5.085619683837259e-17,1.7521059951952344e-12,0.7615055427959495,True,0.1728581270807191,0.9999999978142211,2.1857788912171827e-09
20260811-039,contradict-replace-one,1,4.540345794638755e-05,4.5489969341927436e-05,0.00897632330552129,0.008145634698379013,0.0023456737104002095,0.9999958411698036,True,0.0009300253855216698,0.9999999134846761,8.651532368286752e-08
20260811-036,irrelevant-distractor,1,6.848348091503729e-08,1.908411085266223e-07,0.005210044974331897,5.0567337645962576e-17,-2.715483913018751e-12,-0.4773285107541671,False,0.04044274117980772,0.9999998776423631,1.2235763635626284e-07
20260811-039,irrelevant-distractor,1,2.4742204513683856e-13,2.4736653398560736e-13,5.481137572034481e-17,3.3492958658268076e-16,9.305803965235939e-28,9.305803965235938e-13,True,0.000788463000937387,1.000000000000335,0.0
20260811-038,irrelevant-distractor,1,0.0004207424447424324,0.0004207424442498328,0.0007187192751818849,5.085619683837259e-17,1.7521059951952344e-12,0.7615055427959495,True,0.1728581270807191,0.9999999978142211,2.1857788912171827e-09
20260811-036,contradict-replace-one,1,3.9301068304840104e-07,5.484519755453394e-07,0.0014778872467754935,0.05427791667905097,0.02001652572689753,0.9989133853546446,True,0.005655919274561138,0.9999998445586461,1.554413538995547e-07
20260811-036,contradict-replace-one,0,1.3178260796683727e-07,1.9084110852480502e-07,0.00026249793198340776,0.05427791667905097,0.0057049260255487505,0.9554823112514744,True,0.00452737573110621,0.999999940941491,5.905850852805372e-08
20260811-037,contradict-replace-one,1,3.536120153340924e-05,3.547726732006394e-05,0.008595645500702824,0.008145634698379013,0.0022706874583501425,0.9999957857345205,True,0.0008033970411765274,0.9999998839301091,1.1606989114287813e-07
20260811-038,contradict-replace-one,1,0.9999890037017412,0.9999890037021918,0.17660306299847317,0.15089625627626346,0.42009678404078177,0.9998852103366298,True,0.1811552472429174,1.000000000169665,0.0
20260811-037,irrelevant-distractor,0,2.4250085522888715e-13,2.4250085522888715e-13,5.48115673888234e-17,3.3492958658268076e-16,3.988511319279778e-27,3.988511319279778e-12,True,0.000788463000937387,1.000000000000334,0.0
20260811-037,contradict-replace-one,0,3.536120153340924e-05,3.547726732006394e-05,0.008595645500702824,0.008145634698379013,0.0022706874583501425,0.9999957857345205,True,0.0008033970411765274,0.9999998839301091,1.1606989114287813e-07
20260811-039,irrelevant-distractor,0,3.4134715327797866e-13,3.4129164212674745e-13,-5.4811184051861305e-17,3.3492958658268076e-16,-1.373371155809023e-27,-1.3733711558090228e-12,False,0.0007884630009375247,1.000000000000429,0.0
20260811-036,irrelevant-distractor,0,5.272192004075138e-08,5.272192009626253e-08,0.0053537708383371175,5.0567337645962576e-17,-2.7345834785155283e-12,-0.46897996597211844,False,0.0398366493899185,1.000000055493445,0.0
20260811-080,contradict-replace-one,0,4.952120066581534e-07,5.020686615261294e-07,0.014434544907796932,0.22101373914159872,0.12555992755184792,0.999473757327604,True,0.0884655422954186,0.9999998936375981,1.0636240288519616e-07
20260811-080,contradict-replace-one,1,5.571351501386705e-07,5.571351994047417e-07,0.013680667589964848,0.22101373914159872,0.12190742681829864,0.9994421922426018,True,0.090189501381398,0.9999999569747421,4.3025258467110916e-08
20260811-081,irrelevant-distractor,1,0.0001887440525579258,0.0001887440393298468,0.0025528792655429133,-4.475525354037582e-17,1.8523047370312235e-13,0.0526364494814893,True,0.10748897653154836,0.999999928613134,7.138686619612145e-08
20260811-080,irrelevant-distractor,1,0.00020195858087611286,0.0002019585687248326,0.009344241569702294,-9.130889730753934e-18,3.7334080989685616e-12,0.8570708009701016,True,4.8146972878285415e-05,0.999999939601759,6.039824096415458e-08
20260811-082,contradict-replace-one,1,9.484832619515315e-05,9.49204847669234e-05,0.072804855545613,0.15680047409572828,0.3378271011404048,0.9999786303501017,True,0.06325369620070154,0.999999988241237,1.1758762630265096e-08
20260811-081,irrelevant-distractor,0,0.00018874405256907818,0.0001887440393298815,0.0029379672659383543,-4.475525354037582e-17,1.9929029141544955e-13,0.05261449301460768,True,0.10539099317461693,0.9999999290124301,7.098756993340061e-08
20260811-081,contradict-replace-one,1,0.00021624779293237767,0.00021629922556468212,0.005334103641013756,0.1674609826535367,0.0980812557375942,0.9999933946088253,True,0.00187970547067297,1.000000032391176,0.0
20260811-082,irrelevant-distractor,1,0.00033232446869133536,0.0003323244639172067,0.0026814378194893835,3.485152972748631e-18,-1.351427108480726e-12,-0.23346984876924723,False,0.004974038314372153,0.9999999694105031,3.058949726852944e-08
20260811-038,contradict-replace-one,0,0.9999890033494813,0.9999890033499319,0.17584452147334848,0.15089625627626346,0.419705461551709,0.9998853236180404,True,0.18038987149792984,1.000000000521924,0.0
20260811-081,contradict-replace-one,0,0.00021626054850764286,0.0002163119811401694,0.008117731453275014,0.1674609826535367,0.11909504303948953,0.9999974040047173,True,0.003098261563987093,1.0000000196356,0.0
20260811-082,irrelevant-distractor,0,0.00033232446869133536,0.0003323244639172067,0.0026814378194893835,3.485152972748631e-18,-1.351427108480726e-12,-0.23346984876924723,False,0.004974038314372153,0.9999999694105031,3.058949726852944e-08
20260811-083,irrelevant-distractor,1,0.017977744537767373,0.017977744364116532,0.05493683289667923,-1.6611518864735096e-17,1.375851904257544e-11,0.6124342431141448,True,0.008091767595789438,0.9999999903112691,9.688731261725536e-09
20260811-083,irrelevant-distractor,0,0.014055160282433608,0.014055159582231863,0.054166169995932295,-1.6611518864735096e-17,1.3646888030159715e-11,0.6127523837246828,True,0.00783040197020942,0.9999999501683601,4.983164092475789e-08
20260811-082,contradict-replace-one,0,9.435212803716076e-05,9.4436045327985e-05,0.06587484193814919,0.15680047409572828,0.32249311574563444,0.9999955159276076,True,0.0695115257947253,1.000000034303519,0.0
20260811-083,contradict-replace-one,0,0.9999892697791954,0.9999892018816359,0.3895709263765767,0.2075574792193932,0.8473623688214409,0.9996937889994727,True,0.005525441610535486,0.9999999266520371,7.33479633696632e-08
20260811-124,irrelevant-distractor,0,0.0001059221696814824,0.00010597531931616056,0.006257423495010499,-8.095990808073026e-18,1.5095661700158905e-12,0.32381312799807477,True,0.02587947819739661,0.9999999809915021,1.9008498219896808e-08
20260811-083,contradict-replace-one,1,0.9999748286897625,0.9999747924328125,0.3764613658547512,0.2075574792193932,0.8363991471971186,0.9996955791568599,True,0.004122783544523015,0.9999999637418321,3.625816835661766e-08
20260811-124,contradict-replace-one,0,0.05267179305380858,0.05267182736577494,0.11641077629863313,0.2878977623615262,0.22406087747550812,0.5866649644537981,True,0.2519973634734554,0.9999998875962581,1.1240374186982649e-07
20260811-124,irrelevant-distractor,1,0.0001059221696814824,0.00010597531931616056,0.006257423495010499,-8.095990808073026e-18,1.5095661700158905e-12,0.32381312799807477,True,0.02587947819739661,0.9999999809915021,1.9008498219896808e-08
20260811-125,irrelevant-distractor,0,0.7954681193433999,0.795468102090635,0.007556197138492107,1.0180281479894034e-18,8.779774516489187e-13,0.28991467738735804,True,0.14893797591353708,0.9999999340825371,6.591746271045196e-08
