scenario_id,condition,repeat_id,token_tv_to_canonical,constrained_full_law_tv,posterior_js_to_canonical,reference_js_change,directional_inner_product,directional_cosine,direction_correct,js_to_new_reference,observed_mass,residual_mass
20260811-037,contradict-replace-one,0,0.15510398747668924,0.15510399373472197,0.06512012107887137,0.008145634698379013,0.011825330866902444,0.9999931650578326,True,0.043551658950283095,0.9999999925931331,7.406868007819867e-09
20260811-036,contradict-replace-one,1,1.0015861797650048e-07,1.8717697787796093e-07,0.020479197981968213,0.05427791667905097,0.06462424044507108,0.9954267353565378,True,0.005637752422379582,1.000000007765409,0.0
20260811-039,contradict-replace-one,0,0.12325523313589708,0.12325523313589662,0.05906445057558541,0.008145634698379013,0.010920629161547098,0.9999959724265425,True,0.038312286716091166,1.000000029555121,0.0
20260811-039,irrelevant-distractor,1,5.557205190655252e-10,5.557202970209204e-10,0.00019389654077907721,3.3492958658268076e-16,-2.348813408355076e-14,-0.0887180574199867,False,0.0005289844881772292,1.000000000034094,0.0
20260811-037,irrelevant-distractor,1,5.991636014625232e-10,5.991636569736745e-10,0.0002470919790696827,3.3492958658268076e-16,-2.619929799189252e-14,-0.08872051334089463,False,0.0004585219848906668,1.00000000002863,0.0
20260811-038,contradict-replace-one,1,0.9994464435019913,0.9994463730704488,0.16864267971719993,0.15089625627626346,0.4466014670411632,0.9998839539551766,True,0.14625379742999536,0.9999999139099771,8.609002299930779e-08
20260811-036,irrelevant-distractor,0,1.0573292441782268e-07,1.927512844783072e-07,0.0004612639983911631,5.0567337645962576e-17,4.169000183308295e-13,0.39721902759269917,True,0.029669359523462988,1.000000000861346,0.0
20260811-038,irrelevant-distractor,1,7.28983946702245e-07,7.289838976989953e-07,0.0003427282388214173,5.085619683837259e-17,-1.236170790896756e-12,-0.77379701445826,False,0.11595388346789866,0.9999998919174861,1.0808251382776746e-07
20260811-039,contradict-replace-one,1,0.15510398751466808,0.15510399377270087,0.06517868601957036,0.008145634698379013,0.011827845141695647,0.9999931696443571,True,0.043551658950283095,0.9999999925931331,7.406868007819867e-09
20260811-039,irrelevant-distractor,0,5.573727247837365e-10,5.573728358060389e-10,0.00022439521032688146,3.3492958658268076e-16,-2.5048019705537622e-14,-0.08871938399860836,False,0.00048276833550874086,1.000000000032442,0.0
20260811-036,contradict-replace-one,0,1.0310915000564258e-07,1.9012751007363648e-07,0.028484273170249576,0.05427791667905097,0.07874323359254132,0.9964342322844861,True,0.00951283250587948,1.000000005459421,0.0
20260811-037,contradict-replace-one,1,0.08692641668714127,0.08692646366552194,0.05113798422218664,0.008145634698379013,0.00972263705871192,0.9999983830065402,True,0.03168284661798161,0.9999999485491851,5.1450816940246114e-08
20260811-038,irrelevant-distractor,0,7.28983946702245e-07,7.289838976989953e-07,0.0003427282388214173,5.085619683837259e-17,-1.236170790896756e-12,-0.77379701445826,False,0.11595388346789866,0.9999998919174861,1.0808251382776746e-07
20260811-037,irrelevant-distractor,0,6.012412332703326e-10,6.012409002034251e-10,0.0002327140404893619,3.3492958658268076e-16,-2.552412549741451e-14,-0.0887190631232451,False,0.0004781403383341074,1.000000000026553,0.0
20260811-038,contradict-replace-one,0,0.9994464302932404,0.9994463598543926,0.1654370200399224,0.15089625627626346,0.44408660237089065,0.9998844823412814,True,0.14319972523716168,0.999999927126033,7.287396686095349e-08
20260811-080,contradict-replace-one,0,1.0677017078410278e-06,1.0963163515636552e-06,0.12602524527179726,0.22101373914159872,0.39924927432039137,0.9999996616824036,True,0.024849854375495924,0.9999999153314361,8.46685639377398e-08
20260811-083,irrelevant-distractor,0,0.03486807271169769,0.034868079750975986,0.03799899681143293,-1.6611518864735096e-17,1.1911279707340788e-11,0.767618715072708,True,0.17832269587824953,0.9999999339151461,6.608485503267758e-08
20260811-082,irrelevant-distractor,1,0.4586459720775321,0.45864596007318137,0.0007443291416323953,3.485152972748631e-18,-5.606617171146737e-13,-0.22916664745750617,False,0.050774464670472405,0.999999889390032,1.1060996774059362e-07
20260811-081,contradict-replace-one,1,1.790420188668974e-09,1.7904200221355202e-09,9.988513531995768e-05,0.1674609826535367,-0.0012681264618569653,-0.45690398851621844,False,0.00280561405869948,1.000000000083431,0.0
20260811-082,contradict-replace-one,1,0.5006495076265556,0.5006495130271567,0.20146189129513464,0.15680047409572828,0.5511070895442634,0.999987831522831,True,0.040199112832101036,0.9999999913923401,8.60766058430329e-09
20260811-082,contradict-replace-one,0,0.5006495076265556,0.5006495130271567,0.20146189129513464,0.15680047409572828,0.5511070895442634,0.999987831522831,True,0.040199112832101036,0.9999999913923401,8.60766058430329e-09
20260811-080,irrelevant-distractor,1,0.0001381374766796697,0.000138139932830867,0.006069818008768723,-9.130889730753934e-18,-5.038500705440817e-13,-0.1284368600151969,False,0.0059392132793801185,0.9999999414819211,5.851807982626411e-08
20260811-080,contradict-replace-one,1,7.320688153672327e-06,7.320688177205424e-06,0.13657335358203337,0.22101373914159872,0.425761609580975,0.9999216595402731,True,0.019691940592575348,0.999999993247875,6.752125414344334e-09
20260811-080,irrelevant-distractor,0,0.0001381374766796697,0.000138139932830867,0.006069818008768723,-9.130889730753934e-18,-5.038500705440817e-13,-0.1284368600151969,False,0.0059392132793801185,0.9999999414819211,5.851807982626411e-08
20260811-083,contradict-replace-one,0,0.04585394731856195,0.04585394408766486,0.13724865586053692,0.2075574792193932,0.29022343417761803,0.8929869862499987,True,0.028956899512635595,0.999999922280647,7.771935295330934e-08
20260811-081,contradict-replace-one,0,1.866665938207999e-09,1.866665938207999e-09,0.0018487350659475328,0.1674609826535367,0.05183742930456837,0.9999772427102772,True,0.006336906844143859,1.000000000005202,0.0
