model,test_scenarios,repeats,total_aitchison_mse,service_aitchison_mse,service_share_percent,stable_recovery_aitchison_mse,stable_share_percent,identity_roundoff,calibration_bootstrap_mse_mean,calibration_bootstrap_mse_q025,calibration_bootstrap_mse_q975,mean_probability_mass_defect,maximum_probability_mass_defect,maximum_parser_crosscheck_difference,bootstrap_replicates,semantic_map_error,open_world_reference_error
GPT-4.1-mini-2025-04-14,100,500,3.8593659331975085,0.06908619419305015,1.7900918282659921,3.790279739004459,98.20990817173401,4.440892098500626e-16,0.06655481816216767,0.006181359171219191,0.23061079315176602,4.706140805636002e-08,1.9173327547861163e-07,0.0,2000,,
GPT-4o-mini-2024-07-18,100,500,3.27559842007868,0.02359304847799879,0.7202668169998716,3.252005371600681,99.27973318300013,0.0,0.04679518804463375,0.005792231533282042,0.1432920232140031,4.751840974742256e-08,1.856039895109518e-07,0.0,2000,,
